Book-Title,num_ratings,avg_rating
Harry Potter and the Prisoner of Azkaban (Book 3),428,5.852803738317757
Harry Potter and the Goblet of Fire (Book 4),387,5.8242894056847545
Harry Potter and the Sorcerer's Stone (Book 1),278,5.737410071942446
Harry Potter and the Order of the Phoenix (Book 5),347,5.501440922190202
Harry Potter and the Chamber of Secrets (Book 2),556,5.183453237410072
The Hobbit : The Enchanting Prelude to The Lord of the Rings,281,5.00711743772242
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",368,4.948369565217392
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),575,4.895652173913043
"The Two Towers (The Lord of the Rings, Part 2)",260,4.880769230769231
To Kill a Mockingbird,510,4.7
The Da Vinci Code,898,4.642538975501114
The Five People You Meet in Heaven,430,4.551162790697674
The Catcher in the Rye,449,4.5456570155902005
The Lovely Bones: A Novel,1295,4.468725868725869
1984,284,4.454225352112676
Prodigal Summer: A Novel,253,4.450592885375494
Neverwhere,265,4.449056603773585
The Secret Life of Bees,774,4.447028423772609
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,283,4.3568904593639575
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",493,4.354969574036511
The Red Tent (Bestselling Backlist),723,4.334716459197787
The Hitchhiker's Guide to the Galaxy,268,4.3283582089552235
Nickel and Dimed: On (Not) Getting By in America,335,4.28955223880597
Into the Wild,252,4.273809523809524
Fahrenheit 451,409,4.264058679706602
Girl with a Pearl Earring,526,4.218631178707224
Outlander,283,4.173144876325089
Where the Heart Is (Oprah's Book Club (Paperback)),585,4.105982905982906
Seabiscuit: An American Legend,275,4.098181818181819
Life of Pi,664,4.088855421686747
The Bean Trees,389,4.087403598971722
"A Child Called \It\"": One Child's Courage to Survive""",265,4.086792452830188
ANGELA'S ASHES,279,4.075268817204301
Good in Bed,490,4.055102040816327
Fast Food Nation: The Dark Side of the All-American Meal,321,4.037383177570093
American Gods,302,4.006622516556291
Skipping Christmas,322,4.0062111801242235
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),318,4.00314465408805
"The Golden Compass (His Dark Materials, Book 1)",336,4.0
The Color Purple,314,3.964968152866242
Silence of the Lambs,256,3.9609375
About a Boy,262,3.900763358778626
Seven Up (A Stephanie Plum Novel),278,3.8884892086330933
The Alchemist: A Fable About Following Your Dream,266,3.8759398496240602
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),269,3.825278810408922
Suzanne's Diary for Nicholas,457,3.8205689277899344
Lord of the Flies,259,3.8185328185328187
A Prayer for Owen Meany,413,3.7966101694915255
"The Vampire Lestat (Vampire Chronicles, Book II)",301,3.777408637873754
White Oleander : A Novel (Oprah's Book Club),356,3.7724719101123596
